Age_numeric,gender_male,education_numeric,wealth_numeric,mobile_money_binary,transactional_account_binary,savings_frequency_numeric,runs_out_of_money,income_numeric,access_agents,urban,region_North East,region_North West,region_South East,region_South South,region_South West,year_2020,year_2023,Population
0.05276152,-0.1378239,1.1319003,0.79723305,-0.0038961612,0.46239015,0.05026462,0.04500687,0.21726963,1.4439085,-0.13538802,-0.01855595,-0.024396373,-0.06629442,-0.018276524,0.022861743,0.0,-0.23512505,0.061506044
0.027865626,0.10962771,-0.2418274,-0.36093155,-0.0044594067,-0.22539563,-0.081763156,-0.20108247,-0.040649872,-1.737131,-0.062164173,-0.007649053,-0.047284655,-0.030185064,-0.028583264,-0.2747164,0.0,0.037581395,0.047461133
-0.20232747,0.1719369,-0.13581133,-0.17605229,-0.004182725,-0.20718727,-0.18482004,-0.14812292,-0.047398325,-1.7883158,-0.10923187,-0.0034143967,-0.047850512,-0.026013797,-0.02119924,0.012702631,0.0,0.11817816,-0.30197436
0.16248868,0.12583494,-0.07600422,0.11712276,-0.011814309,0.26005694,-0.047844324,0.13942152,-0.22786358,1.1195118,-0.13513295,-0.0077235214,-0.029786201,-0.07743376,-0.009554153,0.050939456,0.0,-0.60895646,-0.29254097
-0.077906966,0.07866323,-0.2547657,-0.13899842,-0.0044059404,-0.18348953,-0.09455795,-0.2706794,-0.106841445,-1.6745033,-0.07601943,0.0034135885,-0.049714107,-0.03382657,-0.030468063,-0.32397,0.0,0.07902792,0.09253079
0.052324414,-0.11053744,-0.020833585,0.39708692,-0.008558155,0.2351575,-0.03238543,0.09676691,-0.18908833,1.155054,-0.12675151,-0.0055215782,-0.011330356,-0.09011292,-0.015659865,0.037488773,0.0,-0.5361555,-0.1842091
0.0005607859,-0.07059035,0.065341495,-0.33397976,-0.0038178575,-0.1328927,-0.08310101,0.3148392,-0.104811154,-1.6641881,-0.076556675,0.016380573,-0.03649562,-0.08965168,-0.029074382,0.033529148,0.0,0.12991609,-0.24445969
0.09153211,0.072423965,0.005792793,-0.07522739,-0.0034705242,-0.20732379,-0.07587202,0.29651725,0.010481442,-1.7760291,-0.08695464,0.057834864,-0.05268838,-0.03645267,-0.016112074,0.0448977,0.0,0.24174179,-0.18037397
-0.18127285,-0.06782928,-0.19799533,-0.088117704,-0.0043336973,-0.17841175,-0.095867366,0.30988607,0.025674662,-1.5738201,-0.06390955,0.060787514,-0.014652058,-0.050158974,-0.02999724,0.040753968,0.0,0.22156714,-0.25041842
-0.15407553,0.0664417,-0.21128608,-0.3333095,-0.004537238,-0.15406255,-0.119017124,0.2886295,-0.11175966,-1.5519469,-0.073209554,0.02497539,-0.017481042,-0.08315923,-0.030335208,0.04018206,0.0,0.15325381,-0.31236577
-0.054094445,0.097457066,0.9449368,-0.66353345,-0.0067394734,0.36575776,0.013244187,0.13162993,0.031428143,1.4347895,-0.11416155,0.111251034,-0.03837182,-0.11541403,-0.020311337,0.036709055,0.0,-0.39447138,-0.1933186
-0.12490183,0.06507003,-0.21071593,-0.0733394,-0.004171298,-0.17428307,-0.104043394,0.27757397,0.04866047,-1.6373084,-0.06643048,0.049018174,-0.01740152,-0.05392777,-0.031850155,0.036491703,0.0,0.23038487,-0.2253495
-0.034315895,0.065527976,-0.19411436,-0.084814094,-0.0043275347,-0.1585561,-0.11051253,0.29379746,-0.10804974,-1.5712003,-0.08481836,0.025888864,-0.019698838,-0.047677644,-0.026607413,0.042113934,0.0,0.1978535,-0.22093543
